index,message,reply
216,"Hey, did you know the first marine predator was the shark? They developed in the Silurian period.",Very interesting. I wonder how many aquatic species have gone extinct since then...
217,Very interesting. I wonder how many aquatic species have gone extinct since then...,Or have evolved into other species. The shark has a higher core temperature than other fish because it is an active swimmer.
218,Or have evolved into other species. The shark has a higher core temperature than other fish because it is an active swimmer.,That makes sense. I always thought sharks were pretty interesting because they have cartilage instead of bone.
219,That makes sense. I always thought sharks were pretty interesting because they have cartilage instead of bone.,"Yes, fascinating fact! Tuna also hold a higher core temperature. They are in the same class as shark because they are also active swimmers."
220,"Yes, fascinating fact! Tuna also hold a higher core temperature. They are in the same class as shark because they are also active swimmers.","Tuna can get quite large, too. It's cool how big some fish get."
221,"Tuna can get quite large, too. It's cool how big some fish get.",One more before we go...did you know domesticated animals develop a white patch on their forehead?
222,One more before we go...did you know domesticated animals develop a white patch on their forehead?,Yeah. that is a pretty cool way to know they are domesticated rather than wild.
223,Yeah. that is a pretty cool way to know they are domesticated rather than wild.,Very cool chatting with you. Did you know there are 6331 groups of genes? They are common to all living animals!
224,Very cool chatting with you. Did you know there are 6331 groups of genes? They are common to all living animals!,It was a cool exercise in zoology chatting with you.
225,It was a cool exercise in zoology chatting with you.,I think its sad to have to part with a pet due to allergies and couple conflict like in the Dear Amy section.
226,I think its sad to have to part with a pet due to allergies and couple conflict like in the Dear Amy section.,That is sad. Do you have pets? The first cloned pet was a cat and its name was copy cat.
227,That is sad. Do you have pets? The first cloned pet was a cat and its name was copy cat.,"Yes, I have a dog.  Sounds like in the Dear Amy that they do everything tit for tat. The cat owner states that her fiance has to get rid of his saltwater fish if she gets rid of her cat.  That's not necessarily fair though I don't think.  They seem like they may struggle as a couple in the future."
228,"Yes, I have a dog.  Sounds like in the Dear Amy that they do everything tit for tat. The cat owner states that her fiance has to get rid of his saltwater fish if she gets rid of her cat.  That's not necessarily fair though I don't think.  They seem like they may struggle as a couple in the future.",Yeah that's a bit dramatic! A cat lover is known as an ailurophile and a dog lover is known as a cynophile.
229,Yeah that's a bit dramatic! A cat lover is known as an ailurophile and a dog lover is known as a cynophile.,Allergies can be serious to people.  I understand his reserve of having a cat.
230,Allergies can be serious to people.  I understand his reserve of having a cat.,"Me too. A pet or companion animal is an animal kept primarily for a person's company, protection, or entertainment. No one should have to be made uncomfortable by a pet in the house."
231,"Me too. A pet or companion animal is an animal kept primarily for a person's company, protection, or entertainment. No one should have to be made uncomfortable by a pet in the house.","I'm sure she loves the pet, but she has to make a choice if the pet is harming her fiance."
232,"I'm sure she loves the pet, but she has to make a choice if the pet is harming her fiance.",Over 1.5 million living animal species have been described. I'm sure they can find one to agree on. 
233,Over 1.5 million living animal species have been described. I'm sure they can find one to agree on. ,Did you ever hear that animals develop white patches on their foreheads when they are domesticated?  That's a new one to me.  
234,Did you ever hear that animals develop white patches on their foreheads when they are domesticated?  That's a new one to me.  ,"That's interesting! Of the 1.5 million species, 1 million are insects! Yuck!"
235,"That's interesting! Of the 1.5 million species, 1 million are insects! Yuck!","Apparently, there is a breed of jellyfish that is immortal.  If you want to live forever, you can look into being a jellyfish."
236,"Apparently, there is a breed of jellyfish that is immortal.  If you want to live forever, you can look into being a jellyfish.","Fascinating! In japan, there are more pets than there are children under 15."
237,"Fascinating! In japan, there are more pets than there are children under 15.","Teddy Roosevelt had over 20 pets and his own real ""teddy"" bear along with a hyena"
238,"Teddy Roosevelt had over 20 pets and his own real ""teddy"" bear along with a hyena",Wow! There are more tigers living as pets in the us than living wild in asia.
239,Wow! There are more tigers living as pets in the us than living wild in asia.,"I never met anyone with a tiger pet.  That is strange.  It's not legal to own pets in Boulder, Colorado but you can be their guardian."
240,"I never met anyone with a tiger pet.  That is strange.  It's not legal to own pets in Boulder, Colorado but you can be their guardian.","Lots of places have special animal rights. In 2002, germany became the first country in the world to universally give animals constitutionally-guaranteed legal rights."
241,"Lots of places have special animal rights. In 2002, germany became the first country in the world to universally give animals constitutionally-guaranteed legal rights.",The loch ness monster is protected by 1912 Scottish provisions
